"node","country","sector","community","Cluster"
"AUT_Communications","AUT","Communications",1,"1"
"AUT_Energy","AUT","Energy",2,"1"
"AUT_Industrials","AUT","Industrials",1,"1"
"AUT_Info Tech","AUT","Info Tech",3,"1"
"AUT_Materials","AUT","Materials",4,"1"
"AUT_Real Estate","AUT","Real Estate",2,"1"
"AUT_Utilities","AUT","Utilities",5,"1"
"BEL_Communications","BEL","Communications",3,"1"
"BEL_Cons Stap","BEL","Cons Stap",3,"1"
"BEL_Financials","BEL","Financials",2,"1"
"BEL_Health Care","BEL","Health Care",3,"1"
"BEL_Industrials","BEL","Industrials",5,"1"
"BEL_Info Tech","BEL","Info Tech",1,"1"
"BEL_Real Estate","BEL","Real Estate",3,"1"
"CHE_Communications","CHE","Communications",3,"1"
"CHE_Cons Disc","CHE","Cons Disc",2,"1"
"CHE_Cons Stap","CHE","Cons Stap",6,"1"
"CHE_Financials","CHE","Financials",2,"1"
"CHE_Health Care","CHE","Health Care",1,"1"
"CHE_Info Tech","CHE","Info Tech",2,"1"
"CHE_Materials","CHE","Materials",1,"1"
"CHE_Real Estate","CHE","Real Estate",1,"1"
"CHE_Utilities","CHE","Utilities",4,"1"
"CYP_Communications","CYP","Communications",7,"1"
"CYP_Industrials","CYP","Industrials",4,"1"
"CYP_Info Tech","CYP","Info Tech",4,"1"
"DEU_Communications","DEU","Communications",3,"1"
"DEU_Cons Disc","DEU","Cons Disc",1,"2"
"DEU_Financials","DEU","Financials",5,"1"
"DEU_Health Care","DEU","Health Care",3,"1"
"DEU_Industrials","DEU","Industrials",5,"1"
"DEU_Info Tech","DEU","Info Tech",5,"1"
"DEU_Materials","DEU","Materials",5,"2"
"DEU_Real Estate","DEU","Real Estate",3,"1"
"DNK_Communications","DNK","Communications",8,"1"
"DNK_Cons Disc","DNK","Cons Disc",2,"1"
"DNK_Cons Stap","DNK","Cons Stap",3,"1"
"DNK_Energy","DNK","Energy",4,"2"
"DNK_Health Care","DNK","Health Care",3,"1"
"DNK_Info Tech","DNK","Info Tech",3,"1"
"ESP_Communications","ESP","Communications",2,"1"
"ESP_Cons Disc","ESP","Cons Disc",1,"1"
"ESP_Cons Stap","ESP","Cons Stap",1,"1"
"ESP_Energy","ESP","Energy",2,"1"
"ESP_Financials","ESP","Financials",2,"1"
"ESP_Industrials","ESP","Industrials",1,"1"
"ESP_Info Tech","ESP","Info Tech",4,"1"
"ESP_Real Estate","ESP","Real Estate",1,"1"
