cluster,n,term,estimate,std.error,statistic,p.value
High risk,5924,z_unemp,2.4692499664628073e-4,8.681692274515414e-4,0.2844203512846386,0.7761153523494064
High risk,5924,z_infl,-3.652522555948261e-4,3.307995523332598e-4,-1.1041497880470448,0.2696503601173475
High risk,5924,z_yield,-6.332845665047643e-4,5.111658460716114e-4,-1.2389023471964222,0.21551540593885618
High risk,5924,z_spread,-7.118864708766476e-4,5.05256640509113e-4,-1.4089601477762421,0.15898996259885614
High risk,5924,z_gdp,-0.003179685694184096,9.451689806661811e-4,-3.3641452049589757,7.811388116704498e-4
High risk,5924,z_gpr,-3.951937003592116e-4,4.8773747426552623e-4,-0.810259045512805,0.4178799904501772
Low risk,24793,z_unemp,-1.8469956043175377e-4,4.5060986652170574e-5,-4.0988796330063675,4.1800189149712535e-5
Low risk,24793,z_infl,-1.7110556436055523e-4,4.284068588986413e-5,-3.993996846839417,6.53724795813859e-5
Low risk,24793,z_yield,1.4162902558423026e-4,6.414063664615275e-5,2.2081013377768737,0.027256836089642033
Low risk,24793,z_spread,6.701751391705015e-4,7.947470780618139e-5,8.432558705404595,3.7839913216407907e-17
Low risk,24793,z_gdp,6.702927754900266e-4,7.946142911060429e-5,8.435448279655654,3.6922157744668455e-17
Low risk,24793,z_gpr,2.576177715874727e-4,6.300682975013684e-5,4.08872772378955,4.36692203555445e-5
