gdesc,n,term,estimate,std.error,statistic,p.value
Communications,2862,z_unemp,-0.002582612464022203,8.292264023406359e-4,-3.1144841224692428,0.001883930970221607
Communications,2862,z_infl,-6.405854093721516e-4,3.72809950603036e-4,-1.7182626384729736,0.08599264492466746
Communications,2862,z_yield,0.0015088798402802788,9.40386576967604e-4,1.6045314525286543,0.10884578004621184
Communications,2862,z_spread,-6.452332303954992e-4,9.89675296628015e-4,-0.6519645712022053,0.514542090742772
Communications,2862,z_gdp,-0.012066433219914918,0.0027940908195701734,-4.318554406105936,1.6928932108082282e-5
Communications,2862,z_gpr,-7.23365578029696e-4,3.071191089968281e-4,-2.355325855146209,0.018657995938336957
Cons Disc,2997,z_unemp,-0.0012613315366460924,0.0014019136325177902,-0.8997212862398541,0.36843928924066993
Cons Disc,2997,z_infl,1.6090819908476118e-4,8.16251538067319e-4,0.19713065345732989,0.8437568640921824
Cons Disc,2997,z_yield,-6.571851423542809e-4,9.661877051125596e-4,-0.6801837146931193,0.4965122102325257
Cons Disc,2997,z_spread,0.0042332427383411095,0.0034437575013845033,1.2292511120888179,0.21920554837618125
Cons Disc,2997,z_gdp,-0.01828538052983627,0.00492435204420709,-3.7132561534358266,2.1348561436260551e-4
Cons Disc,2997,z_gpr,4.541906277717778e-5,7.500566107569384e-4,0.06055417967897382,0.9517238006655627
Cons Stap,2864,z_unemp,-0.0029048890677111218,9.033048861324611e-4,-3.215845626772296,0.0013334081485531825
Cons Stap,2864,z_infl,-2.5740165422750495e-4,1.6039394092431095e-4,-1.6048090890725817,0.10878464213789467
Cons Stap,2864,z_yield,1.8277968190089067e-4,7.160563264366445e-4,0.25525880458380773,0.7985645790711047
Cons Stap,2864,z_spread,2.3935615949364158e-4,6.430158544981105e-4,0.3722399032920656,0.7097763917441493
Cons Stap,2864,z_gdp,-0.0058947946069020435,0.005429929291727803,-1.0856116700971479,0.2778570169815143
Cons Stap,2864,z_gpr,-2.7386933100086733e-4,3.208024767388674e-4,-0.8537007998968675,0.3934319059312982
Energy,2701,z_unemp,-0.005044839724449646,0.001466125058137283,-3.440934111622874,5.985457122259788e-4
Energy,2701,z_infl,-4.727100175223377e-4,5.42146947941536e-4,-0.8719223068895958,0.38341569634824646
Energy,2701,z_yield,1.4452813500921512e-4,5.235506219419761e-4,0.2760537929897309,0.7825516983624767
Energy,2701,z_spread,-4.668112979078932e-4,6.494526983935832e-4,-0.7187764390887093,0.47241100175137074
Energy,2701,z_gdp,-0.02366853565813138,0.00863970620585763,-2.7395070033844857,0.006239336028375622
Energy,2701,z_gpr,-0.0017766023128300214,8.726674594394333e-4,-2.0358296778606135,0.04197481649920564
Financials,2972,z_unemp,-0.0023457527728477363,0.0010611093567628065,-2.2106607183297986,0.027237172199863345
Financials,2972,z_infl,-4.510206599298217e-4,6.260157322163692e-4,-0.7204621812506397,0.4713731630831385
Financials,2972,z_yield,-0.001994285755637754,0.0012374577000631743,-1.6115991322660501,0.10729786653518186
Financials,2972,z_spread,0.0028915990907491668,0.0015470315080414762,1.8691274713660468,0.06183527438169316
Financials,2972,z_gdp,-0.014658702078205141,0.004568011596668172,-3.208989681395937,0.0013653496112370736
Financials,2972,z_gpr,1.2494432973061298e-5,6.23672244013308e-4,0.020033652440038185,0.9840196765465533
Health Care,2724,z_unemp,-7.878711074943085e-4,0.0019131099712147617,-0.4118274011159099,0.6805360377472705
Health Care,2724,z_infl,0.0016289645093520817,0.0016081122580593697,1.0129669127190635,0.3112705948666234
Health Care,2724,z_yield,0.002948972567059459,0.0012102177544298033,2.4367288913629217,0.014958586638935317
